Test Time / s,Voltage / V,Current / A,Unix Time / s,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Protocol Name / 1,Step Type / 1,Maximum Cell Temperature / degC,External Temperature / degC,data_point,step_time
265119.9999999998,3.32617896875617,-0.0605515800906498,265120.0,2,2,3.01496409201361e-05,0.0,A with temperature: 15,charge,15.182026737253,15,605,1792.499999999709
265179.99999999994,3.32773855513852,-0.0605515800906498,265180.0,2,2,3.11588339216469e-05,0.0,A with temperature: 15,charge,15.1841449793923,15,606,1852.4999999998254
265240.0000000001,3.32931131660966,-0.0605515800906498,265240.0,2,2,3.21680269231577e-05,0.0,A with temperature: 15,charge,15.1858240570975,15,607,1912.5
265299.9999999998,3.33089551709132,-0.0605515800906498,265300.0,2,2,3.31772199246686e-05,0.0,A with temperature: 15,charge,15.1871931017039,15,608,1972.499999999709
265359.99999999994,3.33249058045444,-0.0605515800906498,265360.0,2,2,3.41864129261794e-05,0.0,A with temperature: 15,charge,15.1883477757032,15,609,2032.4999999998254
265420.0000000001,3.33405739832324,-0.0605515800906498,265420.0,2,2,3.51956059276902e-05,0.0,A with temperature: 15,charge,15.1905753343856,15,610,2092.5
265479.9999999998,3.33562722875062,-0.0605515800906498,265480.0,2,2,3.6204798929201103e-05,0.0,A with temperature: 15,charge,15.1938285806091,15,611,2152.499999999709
265540.0,3.3372062688019,-0.0605515800906498,265540.0,2,2,3.7213991930711896e-05,0.0,A with temperature: 15,charge,15.1978557929638,15,612,2212.4999999998836
265600.00000000006,3.33875887272696,-0.0605515800906498,265600.0,2,2,3.82231849322227e-05,0.0,A with temperature: 15,charge,15.202468755422,15,613,2272.499999999942
265660.0000000002,3.3401858906742,-0.0605515800906498,265660.0,2,2,3.9232377933733604e-05,0.0,A with temperature: 15,charge,15.2075278191223,15,614,2332.500000000058
